microtraits.pathways:methanogenesis_h2co2¦"methanogenesis H2CO2"¦"microtraits.pathways:methanogenesis_h2co2"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:carbonylsulfide_oxidation¦"carbonylsulfide oxidation"¦"microtraits.pathways:carbonylsulfide_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:carbonylsulfide_reduction¦"carbonylsulfide reduction"¦"microtraits.pathways:carbonylsulfide_reduction"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:carbonmonoxide_oxidation¦"carbonmonoxide oxidation"¦"microtraits.pathways:carbonmonoxide_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:carbonmonoxide_reduction¦"carbonmonoxide reduction"¦"microtraits.pathways:carbonmonoxide_reduction"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
GO:0015948¦"methanogenesis"¦"GO:0015948"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:thiocyanate_oxidation¦"thiocyanate oxidation"¦"microtraits.pathways:thiocyanate_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:thiocyanate_reduction¦"thiocyanate reduction"¦"microtraits.pathways:thiocyanate_reduction"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:methane_oxidation¦"methane oxidation"¦"microtraits.pathways:methane_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:acetogenesis¦"acetogenesis"¦"microtraits.pathways:acetogenesis"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
